id,word,meaning1,meaning2,meaning3,level
4677,vigorously,enerjik bir şekilde,şiddetle,kuvvetle,B2
4678,spray,sprey,fısfıs,püskürtmek,B2
4679,vigorous,dinç,enerjik,kuvvetli,B2
4680,ruinous,yıkıcı,harabe,pahalı,B2
4681,urban,kentsel,şehirsel,şehir,B2
4682,vigor/vigour,dinçlik,enerji,kuvvet,B2
4683,walnut,ceviz,ceviz ağacı,ceviz rengi,B2
4684,revolution,devrim,inkılap,dönüş,B2
4685,roommate,ev arkadaşı,oda arkadaşı,yatakhane arkadaşı,B2
4686,seasonal,mevsimlik,mevsime ait,dönemsel,B2
4687,spellbound,büyülenmiş,tutulmuş,kendinden geçmiş,B2
4688,short-term,kısa vadeli,kısa süreli,geçici,B2
4689,shortness,kısalık,azlık,yetersizlik,B2
4690,well-paid,iyi kazandıran,yüksek maaşlı,iyi ödenen,B2
4691,sniff,koklamak,burnunu çekmek,solumak,B2
4692,snore,horlamak,horultu,horlayarak uyumak,B2
4693,weakly,zayıfça,güçsüzce,solgun bir şekilde,B2
4694,snowball,kartopu,kartopu oynamak,büyüyen etki,B2
4695,weaken,zayıflatmak,güçsüzleştirmek,azaltmak,B2
4696,western,batılı,batı,kovboy filmi,B2
4697,shoplifting,mağaza hırsızlığı,dükkân soygunu,mal çalma,B2
4698,shoplifter,mağaza hırsızı,dükkân hırsızı,hırsız,B2
4699,shoplift,mağazadan hırsızlık yapmak,dükkân soymak,mal yürütmek,B2
4700,shopkeeper,dükkâncı,esnaf,mağaza işletmecisi,B2
4701,torch,el feneri,meşale,şaloma,B2
4702,shooting,ateş etme,çekim,avcılık,B2
4703,soak,ıslatmak,iliklerine kadar ıslanmak,emmek,B2
4704,soaked,sırılsıklam,ıslanmış,su içinde,B2
4705,soaking,sırılsıklam,ıslatma,yıkama,B2
4706,tortoiseshell,bağa kabuğu,kaplumbağa kabuğu,benekli renk,B2
4707,torture,işkence,ezivet,eziyet,B2
4708,soar,fırlamak,yükselmek,süzülmek,B2
4709,sob,hıçkırık,hıçkırarak ağlamak,inlemek,B2
4710,well-organized/well-organised,iyi organize edilmiş,düzenli,intizamlı,B2
4711,ton,ton,çoğu,pek çok,B2
4712,tomb,türbe,mezat,mezar,B2
4713,tiredness,yorgunluk,bitkinlik,alsat,B2
4714,smokestack,fabrika bacası,baca,duman bacası,B2
4715,wondrous,harika,şaşırtıcı,mucizevi,B2
4716,tiresome,bıkkınlık veren,yorucu,usandırıcı,B2
4717,shrug,omuz silkmek,silkinmek,omuz hareketi,B2
4718,shrink,küçülmek,çekmek,korkup geri çekilmek,B2
4719,willingly,isteyerek,gönüllü olarak,memnuniyetle,B2
4720,tanned,bronzlaşmış,güneşte yanmış,derisi tabaklanmış,B2
4721,snap,tıkırtı,kopmak,fotoğraf çekmek,B2
4722,so-called,sözde,adı var,güya,B2
4723,toenail,ayak tırnağı,tırnak,ayak parmağı tırnağı,B2
4724,toil,uğraşmak,ağır iş,zahmet,B2
4725,showbiz,şov dünyası,eğlence sektörü,sanat dünyası,B2
4726,tan,bronzluk,aşı boyası,tabaklamak,B2
4727,sneak,sıvışmak,gizlice sokulmak,kalleş,B2
4728,worthless,değersiz,işe yaramaz,kıymetsiz,B2
4729,tame,evcil,itaatkar,evcilleştirmek,B2
4730,tolerant,hoşgörülü,müsamahakâr,tahammüllü,B2
4731,tolerate,hoş görmek,katlanmak,tahammül etmek,B2
4732,toll,geçiş ücreti,çan sesi,kayıp bedeli,B2
4733,sneer,küçümsemek,alay etmek,dudak bükmek,B2
4734,wealthy,zengin,varlıklı,akçalı,B2
4735,showcase,vitrin,sergilemek,teşhir yeri,B2
4736,tiptoe,parmak ucunda yürümek,parmak ucu,sessizce basmak,B2
4737,tail,kuyruk,peşine düşmek,arka kısım,B2
4738,shipping,nakliye,taşımacılık,gemicilik,B2
4739,trainer,antrenör,eğitmen,spor ayakkabı,B2
4740,sympathize/sympathise,sempati duymak,halden anlamak,desteklemek,B2
4741,sympathetic,sempatik,anlayışlı,sıcakkanlı,B2
4742,softness,yumuşaklık,latiflik,hassasiyet,B2
4743,trait,özellik,karakteristiği,huyluk,B2
4744,traitor,hain,vatansız,dönek,B2
4745,tramp,serseri,çöplenmek,ayak sesi,B2
4746,trample,çiğnemek,ezmek,payimal etmek,B2
4747,shaky,titrek,sallantılı,güvenilmez,B2
4748,Shakespearean,Shakespeare tarzı,Shakespeare’e ait,tiyatral,B2
4749,symbolic,sembolik,simgesel,temsili,B2
4750,shaken,sarsılmış,etkilenmiş,endişeli,B2
4751,syllable,hece,ses birimi,kelime parçası,B2
4752,transcript,not dökümü,transkript,yazılı metin,B2
4753,transfusion,kan nakli,transfüzyon,veriliş,B2
4754,transient,geçici,anlık,geceleme,B2
4755,transistor,transistör,yarı iletken,alıcı,B2
4756,transition,geçiş,evre değişimi,intikal,B2
4757,wreck,enkaz,batık,harabe,B2
4758,transitive,geçişli,etken,müteaddit,B2
4759,trainee,stajyer,kursiyer,eğitilen,B2
4760,trailer,römork,fragman,karavan,B2
4761,synonym,eş anlamlı,müteradif,benzer kelime,B2
4762,tag,etiket,fiş,yakalamaç,B2
4763,tactile,dokunsal,hisli,maddî,B2
4764,sociable,sosyal,arkadaş canlısı,girişken,B2
4765,tackle,ele almak,takım,mücadele etmek,B2
4766,shield,kalkan,siper,koruma,B2
4767,tough,sert,dayanıklı,zor,B2
4768,waterproof,su geçirmez,su yalıtımlı,mûşamba,B2
4769,socialize/socialise,sosyalleşmek,kaynaşmak,toplumsallaşmak,B2
4770,tack,raptiye,tutturmak,rota,B2
4771,shipwreck,gemii kazası,batık gemi,facia,B2
4772,shed,kulübe,dökmek,baraka,B2
4773,toxic,zehirli,toksik,zararlı,B2
4774,retina,retina,ağ tabaka,göz perdesi,B2
4775,shatter,parçalamak,darmadağın etmek,kırdırmak,B2
4776,sharply,keskin bir şekilde,aniden,sertçe,B2
4777,trader,tüccar,tacir,alım satımcı,B2
4778,tablecloth,masa örtüsü,sofra bezi,örtü,B2
4779,tabloid,magazin gazetesi,küçük boy gazete,bulvar gazetesi,B2
4780,shabby,köhne,eski püskü,perişan,B2
4781,slash,kesmek,eğik çizgi,azaltmak,B2
4782,therapist,terapist,ruhbilimci,iyileştirici,B2
4783,sister-in-law,yenge,görümce,baldız,B2
4784,therapy,terapi,tedavi,iyileştirme,B2
4785,thereafter,ondan sonra,bundan sonra,müteakiben,B2
4786,slaughter,kesim,katliam,boğazlamak,B2
4787,thermometer,derece,termometre,sıcaklık ölçer,B2
4788,tender,ihale,şefkatli,yumuşak,B2
4789,thesis,tez,sav,akademik çalışma,B2
4790,thickly,kalın bir şekilde,yoğun olarak,sıkça,B2
4791,thickness,kalınlık,yoğunluk,derinlik,B2
4792,thigh,uyluk,but,bacak üstü,B2
4793,worktable,çalışma masası,tezgâh,iş masası,B2
4794,weed,yabani ot,ot,esrar,B2
4795,thinker,düşünür,mütefekkir,filozof,B2
4796,third person,üçüncü şahıs,yabancı,üçüncü kişi,B2
4797,thirdly,üçüncü olarak,üçüncüsü,üçüncü sırada,B2
4798,temptation,cazibe,ayartma,nefis,B2
4799,worrying,endişe verici,kaygı uyandıran,düşündürücü,B2
4800,sincerity,samimiyet,içtenlik,doğruluk,B2
4801,sincere,samimi,içten,dürüst,B2
4802,temporarily,geçici olarak,muvakkaten,kısa süreliğine,B2
4803,slap,tokat,tokatlamak,çarpmak,B2
4804,tenderly,şefkatle,sevgiyle,hassasiyetle,B2
4805,tenderness,şefkat,yumuşaklık,hassasiyet,B2
4806,theorist,teorisyen,kuramcı,nazariyeci,B2
4807,skillful/skilful,yetenekli,becerikli,ustalıkla,B2
4808,testify,tanıklık etmek,şahitlik etmek,ifade vermek,B2
4809,sketch,taslak,kroki,çizmek,B2
4810,testimony,ifade,tanıklık,şahitlik,B2
4811,worm,solucan,kurt,kurtçuk,B2
4812,territory,toprak,bölge,arazi,B2
4813,skillfully/skilfully,ustalıkla,beceriklilikle,ustaca,B2
4814,skim,kaymak almak,göz atmak,yüzeysel okumak,B2
4815,terrifying,korkunç,dehşet verici,ürkütücü,B2
4816,thoroughly,iyice,detaylıca,tamamen,B2
4817,skip,atlamak,pas geçmek,seğirtmek,B2
4818,terrace,teras,balkon,sekü,B2
4819,skateboard,kaykay,kaykay yapmak,tekerlekli tahta,B2
4820,worldview,dünya görüşü,hayat felsefesi,kainat görüşü,B2
4821,worldly,dünyevi,dünya malı,çoluk çocuk sahibi,B2
4822,wornout/worn out/worn-out,yıpranmış,eskimiş,yorgun argın,B2
4823,skylark,tarlakuşu,şakımak,eğlenmek,B2
4824,skyward,göğe doğru,yukarıya,gökyüzüne,B2
4825,slam,çarparak kapatmak,çarpmak,sertçe vurmak,B2
4826,theme,tema,konu,ana fikir,B2
4827,slang,argo,sokak dili,deyim,B2
4828,skateboarder,kaykaycı,kaykay kullanan,sporcu,B2
4829,woodcarving,ahşap oyma,ağaç oymacılığı,oyma sanat,B2
4830,workman,işçi,amele,zanaatkâr,B2
4831,well-built,yapılı,kaslı,sağlam inşa edilmiş,B2
4832,signify,anlamına gelmek,ifade etmek,belirtmek,B2
4833,significantly,önemli ölçüde,oldukça,anlamlı bir şekilde,B2
4834,sloppy,üstünkörü,pasaklı,dağınık,B2
4835,workbench,çalışma tezgahı,marangoz masası,tezgah,B2
4836,workaholic,çalışkankolik,iş bağımlısı,çalışma delisi,B2
4837,tightrope,gergin ip,cambaz ipi,ince ip,B2
4838,wordlessly,sözsüz,dilsiz,sessizce,B2
4839,worsen,kötüleşmek,pislеşmek,fenalaşmak,B2
4840,weary,yorgun,bitkin,usandırmak,B2
4841,worship,ibadet,tapınma,tapmak,B2
4842,timeless,zamansız,ebedi,eskimez,B2
4843,smash,parçalamak,çarpmak,kırmak,B2
4844,wearisome,yorucu,usandırıcı,sıkıcı,B2
4845,timeliness,zamanlama,vaktinde olma,uygunluk,B2
4846,times,kez,defa,zamanlar,B2
4847,timing,zamanlama,zaman ayarlaması,zamanı,B2
4848,taunt,alay etmek,laf atmak,kışkırtmak,B2
4849,tattoo,dövme,dövme yapmak,askeri bando,B2
4850,tatter,yırtık pırtık,eski püskü,çırpı,B2
4851,sliver,Kıymık,Yonga,İnce dilim,B2
4852,tickle,Gıdıklamak,Neşelendirmek,Hafif kaşındırmak,B2
4853,teaspoon,Çay kaşığı,Çay kaşığı dolusu,Tatlı kaşığı,B2
4854,thoughtful,Düşünceli,Nazik,Kaygılı,B2
4855,thoughtless,Düşüncesiz,Dikkatsiz,Anlayışsız,B2
4856,thread,İplik,Kılavuz,Konu dizisi,B2
4857,temperate,Ilıman,Ölçülü,Sakin,B2
4858,threaten,Tehdit etmek,Gözdağı vermek,Korkutmak,B2
4859,thrill,Heyecan,Coşku,Titreme,B2
4860,thrilled,Heyecanlanmış,Çok mutlu,Sevinçli,B2
4861,simultaneous,Eş zamanlı,Aynı anda olan,Birlikte,B2
4862,wed,Evlenmek,Nikah kıymak,Birleştirmek,B2
4863,thrilling,Heyecan verici,Sürükleyici,Nefis,B2
4864,welfare,Refah,Sosyal yardım,Mutluluk,B2
4865,simplification,Basitleştirme,Sadeleştirme,Kolaylaştırma,B2
4866,weave,Dokumak,Örmek,Kurgulamak,B2
4867,telescope,Teleskop,İç içe geçmek,Uzaklaştırıcı,B2
4868,silverware,Gümüş takım,Gümüş eşya,Sofra takımı,B2
4869,well-balanced,Dengeli,Ölçülü,Sağlıklı,B2
4870,technically,Teknik olarak,Usulüne göre,Gerçekte,B2
4871,technical,Teknik,Uzmanlık gerektiren,Usuli,B2
4872,throat,Boğaz,Yutak,Gırtlak,B2
4873,swing,Sallanmak,Salıncak,Yön değiştirmek,B2
4874,translation,Çeviri,Tercüme,Aktarım,B2
4875,sexy,Seksi,Çekici,İlgi çekici,B2
4876,supervise,Denetlemek,Gözetlemek,Yönetmek,B2
4877,unaware,Farkında olmayan,Bihaber,Habersiz,B2
4878,span,Süre,Kapsamak,Açıklık,B2
4879,spare,Yedek,Boş,Esirgemek,B2
4880,whiskey/whisky,Viski,Alkol,İçki,B2
4881,unbearable,Katlanılmaz,Dözülmez,Ağır,B2
4882,scramble,Tırmanmak,Karıştırmak,Mücadele,B2
4883,supernatural,Doğaüstü,Manevi,Haddinden fazla,B2
4884,unbeatable,Yenilmez,Rakipsiz,Çok güçlü,B2
4885,sparerib,Domuz kaburgası,Etli kemik,Kaburga eti,B2
4886,spark,Kıvılcım,Uyandırmak,Parlamak,B2
4887,sparkling,Pırıl pırıl,Köpüklü,Parlak,B2
4888,sparrow,Serçe,Kuş,Ufaklık,B2
4889,unchanged,Değişmemiş,Aynı kalan,Sabit,B2
4890,uncharacteristic,Karakterine aykırı,Tipik olmayan,Alışılmadık,B2
4891,unclearly,Belirsizce,Net olmayan şekilde,Karanlık bir şekilde,B2
4892,scooter,Scooter,Motorsiklet,Çocuk kaykayı,B2
4893,uncomfortably,Rahatsız bir şekilde,Huzursuzca,Kötü bir şekilde,B2
4894,uncommon,Nadir,Olağandışı,Seyrek,B2
4895,superintendent,Müfettiş,Yönetici,Bina sorumlusu,B2
4896,unconcerned,İlgisiz,Kayıtsız,Tasasız,B2
4897,supervision,Denetim,Gözetim,Nezaret,B2
4898,supervisor,Gözetmen,Amir,Yönetici,B2
4899,unavailable,Müsait olmayan,Ulaşılamaz,Elde edilemeyen,B2
4900,southward,Güneye,Güney yönünde,Güneyci,B2
4901,skilled,yetenekli,vasıflı,uzman,B2
4902,withdraw,çekilmek,geri çekmek,para çekmek,B2
4903,typhoid,tifo,tifo humması,bağırsak tifosu,B2
4904,tyranny,zorbalık,tiranlık,istibdat,B2
4905,tyrant,tiran,zorba,despot,B2
4906,seal,mühür,fok,mühürlemek,B2
4907,scythe,tırpan,ot tırpanı,tırpanlamak,B2
4908,ultimate,nihai,en son,kesin,B2
4909,Soviet,sovyet,sovyetler birliği,sovyet şurası,B2
4910,scientifically,bilimsel olarak,ilmi surette,bilimselce,B2
4911,ultimately,sonunda,en nihayetinde,kesin olarak,B2
4912,supplier,tedarikçi,sağlayıcı,iaşeci,B2
4913,whip,kırbaç,kamçı,kırbaçlamak,B2
4914,spa,kaplıca,spa,ılıca,B2
4915,scuba,dalış tüpü,skuba,sualtı solunum cihazı,B2
4916,supplement,ek,takviye,ilave,B2
4917,scrooge,cimri,pinti,hasis,B2
4918,unacceptable,kabul edilemez,uygunsuz,benimsenemez,B2
4919,unashamedly,utanmazca,arsızca,sik sık,B2
4920,scribble,karalamak,karalama,şıngırtı,B2
4921,unattractive,itici,çekici olmayan,çirkin,B2
4922,unauthorized/unauthorised,izinsiz,yetkisiz,onaysız,B2
4923,soybean,soya fasulyesi,soya,soya bitkisi,B2
4924,twisted,bükülmüş,çarpık,sapık,B2
4925,unconscious,bilinçsiz,baygın,şuurunu kaybetmiş,B2
4926,superb,mükemmel,şahane,muhteşem,B2
4927,scarcely,neredeyse hiç,zorlukla,ancak,B2
4928,unenthusiastic,isteksiz,nüfuzsuz,heyecansız,B2
4929,uneven,engebeli,düzensiz,eşit olmayan,B2
4930,scar,yara izi,bere,iz bırakmak,B2
4931,scandal,skandal,rezalet,dedikodu,B2
4932,specify,belirtmek,tayin etmek,açıkça söylemek,B2
4933,unfamiliar,yabancı,bilinmeyen,aşina olmayan,B2
4934,yield,verim,ürün,boyun eğmek,B2
4935,unfashionable,modası geçmiş,demode,eski moda,B2
4936,spectacle,gösteri,manzara,gözlük,B2
4937,unforeseen,öngörülmeyen,beklenmedik,umulmadık,B2
4938,saving/savings,tasarruf,birikim,kurtarma,B2
4939,ungodly,tanrıtanımaz,günahkâr,arsız,B2
4940,unhappiness,mutsuzluk,hüzün,keder,B2
4941,unhelpful,faydasız,yardımcı olmayan,yararsız,B2
4942,unimaginable,hayal edilemez,akıl almaz,tasavvur edilemez,B2
4943,unimaginably,hayal edilemeyecek kadar,akıl almaz şekilde,tasavvur edilmezce,B2
4944,speeder,hız yapan sürücü,süratçi,hız tutkunu,B2
4945,sulfur/sulphur,kükürt,sülfür,kükürt rengi,B2
4946,uneasily,huzursuzca,tedirgin bir şekilde,rahatsızca,B2
4947,unease,huzursuzluk,tedirginlik,kaygı,B2
4948,undressed,çıplak,giyinmemiş,soyunmuş,B2
4949,undreamed,hayal edilmemiş,umulmadık,tahmin edilmemiş,B2
4950,underestimate,küçümsemek,azısmak,değerini düşük tahmin etmek,B2
4951,undergraduate,lisans öğrencisi,üniversite öğrencisi,mezun öncesi,B2
4952,underground,yer altı,metro,gizli örgüt,B2
4953,schoolgirl,okul kız öğrenci,kız öğrenci,mektepli kız,B2
4954,scholasticism,skolastisizm,skolastik felsefe,okulculuk,B2
4955,undersea,deniz altı,su altı,denizaltındaki,B2
4956,understandable,anlaşılır,anlaşılabilen,makul,B2
4957,scheme,tasarı,plan,düzen,B2
4958,understanding,anlayış,kavrayış,anlaşma,B2
4959,wit,zekâ,hazırcevaplık,espri,B2
4960,scheduled,tarifeli,planlanmış,programlanmış,B2
4961,undertake,üstlenmek,girişmek,taahhüt etmek,B2
4962,scent,koku,esans,iz,B2
4963,specialty,uzmanlık alanı,özellik,özel yemek,B2
4964,species,tür,cins,çeşit,B2
4965,underwear,iç çamaşırı,iç giyim,alt giysi,B2
4966,scarlet,al,parlak kırmızı,kızıl,B2
4967,sunbeam,güneş ışını,gün ışığı,güneş demeti,B2
4968,undoubtedly,şüphesiz,kuşkusuz,kesinlikle,B2
4969,specifically,özellikle,spesifik olarak,aynen,B2
4970,twinkle,parıldamak,pırıldamak,göz kırpmak,B2
4971,suppress,bastırmak,engellemek,örtbas etmek,B2
4972,tutor,özel öğretmen,danışman,çalıştırıcı,B2
4973,serial,seri,tefrika,dizi,B2
4974,swan,kuğu,gezmek,aylaklık etmek,B2
4975,serene,dingin,sakin,huzurlu,B2
4976,separately,ayrı ayrı,müstakil,başlı başına,B2
4977,trial,duruşma,deneme,yargılama,B2
4978,sensitive,hassas,duyarlı,alıngan,B2
4979,sustain,sürdürmek,desteklemek,ayakta tutmak,B2
4980,sensible,mantıklı,akıllıca,duyulur,B2
4981,triangle,üçgen,müselles,üçlü,B2
4982,tribe,kabile,oymak,aşiret,B2
4983,suspiciously,şüpheli bir şekilde,kuşkulu,endişeyle,B2
4984,suspicious,şüpheli,kuşkulu,güvensiz,B2
4985,somewhat,biraz,kısmen,azıcık,B2
4986,tricky,hileli,zor,aldatıcı,B2
4987,senator,senatör,senato üyesi,üst meclis üyesi,B2
4988,seminar,seminer,çalıştay,kurs,B2
4989,suspend,askıya almak,uzaklaştırmak,asılmak,B2
4990,withdrawal,para çekme,çekilme,vazgeçme,B2
4991,tremor,titreme,sarsıntı,zelzele,B2
4992,tremendously,devasa şekilde,aşırı derecede,muazzam,B2
4993,servant,hizmetçi,uşak,görevli,B2
4994,trek,uzun yürüyüş,göç,zorlu yolculuk,B2
4995,translator,çevirmen,mütercim,tercüman,B2
4996,transmission,iletim,yayın,vites kutusu,B2
4997,transmit,iletmek,yayınlamak,aktarmak,B2
4998,sexual,cinsel,seksüel,üreme ile ilgili,B2
4999,sexism,cinsiyetçilik,cinsiyet ayrımcılığı,erkek egemenlik,B2
5000,transparent,şeffaf,saydam,açık,B2
5001,solar,güneşle ilgili,güneş enerjili,güneşten elde edilen,B2
5002,wheat,buğday,buğday rengi,açık buğday tenli,B2
5003,swift,hızlı,çabuk,sağan kuşu,B2
5004,solidity,sağlamlık,katılık,güvenilirlik,B2
5005,trio,üçlü,üçlü grup,üçlü müzik eseri,B2
5006,traverse,katetmek,baştan başa geçmek,üzerinden geçmek,B2
5007,wolf,kurt,kurt gibi yemek,aç gözlü kimse,B2
5008,soliloquy,kendi kendine konuşma,monolog,tiyatroda tek başına konuşma,B2
5009,tread,basmak,çiğnemek,yürümek,B2
5010,solo,tek başına,solo müzik,bireysel gösteri,B2
5011,sweep,süpürmek,temizlemek,süpürgeyle süpürmek,B2
5012,solvent,borç ödeyebilen,çözücü,mali gücü olan,B2
5013,witty,espri yeteneği olan,hazırcevap,esprili,B2
5014,setback,engelleme,aksilik,gerileme,B2
5015,wasp,eşek arısı,arı,iğneli böcek,B2
5016,treaty,antlaşma,anlaşma,milis sözleşmesi,B2
5017,tray,tepsi,tabak,servis tepsisi,B2
5018,son-in-law,damat,kız evlat eşi,kızın kocası,B2
5019,trusty,güvenilir,sadık,emin,B2
5020,sector,sektör,kol,bölüm,B2
5021,yawn,esneme,esnemek,can sıkıntısı belirtisi,B2
5022,truthful,doğru sözlü,dürüst,gerçekçi,B2
5023,truthfulness,dürüstlük,doğruluk,gerçekçilik,B2
5024,tub,küvet,tekne,kova,B2
5025,warship,savaş gemisi,donanma gemisi,zırhlı gemi,B2
5026,tuberculosis,verem,tüberküloz,akciğer hastalığı,B2
5027,soundtrack,film müziği,ses kaydı,film ses bandı,B2
5028,surrender,teslim olmak,bırakmak,teslimiyet,B2
5029,secondly,ikinci olarak,ikincisi,ikinci derecede,B2
5030,secondary,ikincil,orta dereceli,tali,B2
5031,tug,çekmek,sarsarak çekmek,römorkör,B2
5032,tuition,öğrenim ücreti,özel ders,eğitim verme,B2
5033,tulip,lale,lale çiçeği,lale motifi,B2
5034,second person,ikinci tekil şahıs,ikinci çoğul şahıs,ikinci kişi,B2
5035,yearn,hasret çekmek,özlemek,çok istemek,B2
5036,tumor/tumour,tümör,ur,şişlik,B2
5037,tunnel,tünel,alt geçit,oyuk yol,B2
5038,turbulent,çalkantılı,fırtınalı,karışık,B2
5039,surge,dalgalanma,aniden artmak,hücum etmek,B2
5040,suitably,uygun şekilde,uygun bir biçimde,gerektiği gibi,B2
5041,surroundings,çevre,etraf,yakın yerler,B2
5042,semi-final,yarı final,yarı final maçı,son altı kalma aşaması,B2
5043,semicolon,noktalı virgül,noktalama işareti,yarı virgül,B2
5044,sonnet,sonnet,ondört mısralık şiir,şiir biçimi,B2
5045,trivial,önemsiz,değersiz,basit,B2
5046,seller,satıcı,pazarlamacı,satan kimse,B2
5047,trolley,alışveriş arabası,el arabası,tramvay,B2
5048,troop,birlik,asker topluluğu,askeri birlik,B2
5049,whereas,halbuki,oysa,iken,B2
5050,trophy,kupa,ödül,ganimet,B2
5051,tropic,dönence,tropikal kuşak,sıcak iklim,B2
5052,selfless,özverili,fedakar,bencillikten uzak,B2
5053,trunk,ağaç gövdesi,fil hortumu,bagaj,B2
5054,self-confident,özgüvenli,kendine güvenen,cesur,B2
5055,wrongly,yanlışlıkla,haksız yere,hatalı olarak,B2
5056,X-ray,röntgen,X ışını,skopi,B2
5057,seldom,ender,nadiren,seyrek,B2
5058,sophisticated,gelişmiş,karmaşık,entelektüel,B2
5059,troublesome,zahmetli,sorunlu,baş belası,B2
5060,segment,kesit,bölüm,dilim,B2
5061,seesaw,tahterevalli,dalgalanma,gidip gelme,B2
5062,wartime,savaş dönemi,harp zamanı,savaş zamanı,B2
5063,yacht,yat,gezi teknemi,lüks tekne,B2
5064,surveillance,gözetim,izleme,takip,B2
5065,self-confidence,özgüven,kendine güven,cesaret,B2
5066,willing,istekli,gönüllü,arzulu,B2
5067,penalty,ceza,penaltı,yaptırım,B2
5068,retailer,perakendeci,satıcı,mağaza sahibi,B2
5069,disorderly,düzensiz,dağınık,kuralsız,B2
5070,disorganized/disorganised,örgütsüz,düzensiz,dağınık,B2
5071,dispensable,gereksiz,vazgeçilebilir,önemsiz,B2
5072,displace,yerinden etmek,yerini almak,uzaklaştırmak,B2
5073,displeasure,hoşnutsuzluk,memnuniyetsizlik,öfke,B2
5074,disposal,elden çıkarma,imha etme,tasfiye,B2
5075,disposition,mizaç,huy,eğilim,B2
5076,dispute,anlaşmazlık,tartışma,itiraz etmek,B2
5077,disqualify,diskalifiye etmek,yetersiz bulmak,elemek,B2
5078,disregard,ihmal etmek,umursamamak,göz ardı,B2
5079,disrupt,aksatmak,bozmak,kesintiye uğratmak,B2
5080,dissatisfaction,tatminsizlik,hoşnutsuzluk,memnuniyetsizlik,B2
5081,disorder,rahatsızlık,düzensizlik,hastalık,B2
5082,dissatisfied,tatminsiz,hoşnutsuz,memnuniyetsiz,B2
5083,distinguished,seçkin,saygın,tanınmış,B2
5084,distortion,çarpıtma,bozulma,deformasyon,B2
5085,distract,dikkat dağıtmak,kafasını karıştırmak,eğlendirmek,B2
5086,distraction,dikkat dağınıklığı,kafa dağıtıcı,engelleme,B2
5087,distressing,üzücü,sıkıntılı,kaygı verici,B2
5088,distributor,dağıtıcı,distribütör,yayımcı,B2
5089,diversion,sapma,yol saptırma,eğlence,B2
5090,divert,yönünü değiştirmek,saptırmak,eğlendirmek,B2
5091,divided,bölünmüş,ayrılmış,parçalı,B2
5092,division,bölüm,bölünme,departman,B2
5093,divorce,boşanma,boşanmak,ayırmak,B2
5094,DNA,DNA,genetik yapı,nükleik asit,B2
5095,dissident,muhalif,aykırı,fikir ayrılığında,B2
5096,dismiss,kovmak,reddetmek,işten çıkarmak,B2
5097,disillusion,hayal kırıklığı,büyüyü bozmak,gerçeği görmek,B2
5098,dishonesty,dürüstsüzlük,sahtekarlık,hırsızlık,B2
5099,devil,şeytan,iblis,azgın,B2
5100,devote,adamak,hasretmek,ayırmak,B2
5101,devoted,kendini adamış,sadık,bağlı,B2
5102,diarrhea/diarrhoea,ishal,sürgün,karın ağrısı,B2
5103,dictator,diktatör,zorba,tek adam,B2
5104,digest,sindirmek,hazmetmek,özümsemek,B2
5105,dignify,onurlandırmak,değer katmak,yüceltmek,B2
5106,dignity,onur,hane,itibar,B2
5107,dilemma,ikilem,çıkmaz,güç durum,B2
5108,dim,loş,soluk,bulanık,B2
5109,dime,on sent,küçük madeni para,bozuk para,B2
5110,dimension,boyut,ebat,ölçü,B2
5111,dip,batırmak,daldırmak,sos,B2
5112,diphtheria,kuşaktan,difteri,boğmaca,B2
5113,diploma,diploma,şehadetname,bitirme belgesi,B2
5114,diplomat,diplomat,elçi,siyasetçi,B2
5115,disappearance,kaybolma,ortadan kalkma,gözden yitme,B2
5116,disapproval,onaylamama,beğenmeme,kınama,B2
5117,disapprove,onaylamamak,beğenmemek,karşı çıkmak,B2
5118,discharge,tahliye etmek,taburcu etmek,boşaltmak,B2
5119,disciple,öğrenci,mürit,takipçi,B2
5120,discipline,disiplin,düzen,disiplin cezası,B2
5121,disconnect,bağlantısını kesmek,fişi çekmek,ayırmak,B2
5122,discredit,gözden düşürmek,itibarsızlaştırmak,güven sarsmak,B2
5123,discriminate,ayrımcılık yapmak,ayırt etmek,fark gözetmek,B2
5124,disgrace,rezalet,utanç,gözden düşme,B2
5125,disguise,kılık değiştirmek,gizlemek,maskelemek,B2
5126,dock,rıhtım,liman,sanık kürsüsü,B2
5127,domestic,yerli,evsel,iç,B2
5128,dominate,hükmetmek,egemen olmak,baskın olmak,B2
5129,donate,bağışlamak,vermek,yardım etmek,B2
5130,duplicate,kopya,kopyalamak,tekrar etmek,B2
5131,duplication,çoğaltma,kopya,ikileme,B2
5132,dwarf,cüce,ufaklık,güdük,B2
5133,dye,boya,boyamak,renk vermek,B2
5134,dynamic,dinamik,hareketli,etken,B2
5135,eagerly,istirekle,hevesle,sabırsızlıkla,B2
5136,eagle,kartal,yırtıcı kuş,gözlemci,B2
5137,earnings,kazanç,gelir,ücret,B2
5138,ease,kolaylık,rahatlık,hafifletmek,B2
5139,eastward,doğuya,doğu yönünde,doğu tarafa,B2
5140,ecologically,ekolojik olarak,çevre bilimsel,tabiatçı,B2
5141,ecologist,ekolog,çevreci,tabiat bilimci,B2
5142,economical,ekonomik,tasarruflu,hesaplı,B2
5143,economist,ekonomist,iktisatçı,maliye uzmanı,B2
5144,ecstatic,kendinden geçmiş,vecd halinde,aşırı sevinçli,B2
5145,edit,düzenlemek,yayına hazırlamak,metin düzeltmek,B2
